unique_words/months,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Grand Total
135,,,,,,,1,,2,,1,3,3,,3,,5,2,,,1,,1,22
136,,,,,,,,,,1,2,1,1,1,1,,2,2,,1,,,,12
137,,,,,,,,1,1,1,1,2,1,5,,,1,1,,,,,,14
138,,,,,,,,,2,2,2,,,,2,1,1,4,,,,,,14
139,,,,,,,,,3,,1,1,3,1,,,1,4,4,1,1,,,20
140,,,,,,1,,,1,2,,1,,2,2,1,2,1,1,,,,,14
141,,,,,,,,,2,1,2,1,2,,2,,3,2,5,2,1,,,23
142,,,,,,,,,1,2,2,2,1,1,1,1,,,1,,,,1,13
143,,,,,,,,,2,,2,1,1,1,,,,2,1,,,1,,11
144,,,,,1,,,,3,1,1,3,1,,,1,2,,1,,5,1,1,21
145,,,,,,,,,3,3,3,2,2,1,2,1,2,,,1,,,2,22
146,,,,,,,,,2,2,3,1,1,,3,2,3,1,2,,,,1,21
147,,,,,,,,,,,1,1,,1,,1,3,,,1,1,,2,11
148,,,,,,,,,2,2,2,,2,1,2,2,1,4,,,2,2,1,23
149,,,,,,,,,1,3,1,,,1,1,2,2,1,,,,1,,13
150,,,,,,,,,,,4,,1,,,,4,,1,1,,1,3,15
151,,,,,,,,,1,2,3,3,1,2,2,1,2,2,,,1,,1,21
152,,,,1,,,,1,2,1,4,,2,1,,1,1,2,2,,,,1,19
153,,,,,,2,,,1,,2,1,,1,2,,,,,1,,,,10
154,,,,,1,1,,,2,,,2,,1,,2,2,,1,,,,,12
155,,,,,,,,2,2,2,1,,,,1,,2,3,,,,,,13
156,,,,,,,,,3,,2,2,1,1,1,1,3,,,,,,,14
157,,,,,,,1,,2,,1,,1,2,,,1,,2,1,,,1,12
158,,,1,,,,,,1,,2,1,1,1,,,,1,1,,,1,,10
159,,,,,,,,,1,,3,1,3,1,3,1,2,1,2,1,,1,1,21
160,,,,1,,,,,3,,1,2,,,1,1,3,1,,1,,,,14
161,,,,,,,,,1,,1,,,2,,2,,1,1,1,1,,,10
162,,,,,,1,,,1,,1,,1,1,3,,2,,1,,,,1,12
163,,,,,,,,,,2,2,2,,,,1,2,3,,1,1,,1,15
164,,,,,,1,,,3,1,3,,1,1,,1,2,,,,,,1,14
165,,,,,,1,,,2,1,2,1,1,2,,1,1,2,,,,,,14
166,,,,,1,,,,1,2,3,1,2,,,,,,,1,,,,11
167,,,,,,,,1,3,1,1,,1,,1,2,2,,,,,,,12
168,,,,,,,,,1,,,,2,1,1,1,2,1,,1,1,,,11
169,,,,1,,,,,1,1,2,1,1,,1,1,1,,1,,,1,1,13
170,,,,,,,,,1,2,2,1,2,1,1,1,2,,1,1,,,,15
171,,,,,,,,,2,,1,,1,,2,,2,,1,,,,,9
172,,,,,,,,,2,,,,,,1,,4,,2,,,,1,10
173,,,,,1,,,,1,1,,1,,2,1,,4,,,1,,3,1,16
174,,,,,,,,,2,3,5,1,2,,,1,4,3,2,1,,,,24
175,,,,,,,,,,,1,3,,1,3,3,3,,,,,,1,15
176,,,,,,,,,1,1,2,,1,,1,,2,,,,,,,8
177,,,,,,,,,1,,,3,2,,,1,,1,1,,2,,,11
178,,,,,,,,,,1,2,,,1,1,1,2,3,3,,1,,1,16
179,,,,,,,,,4,,,,,,1,1,2,,1,,,,,9
180,,,,,,1,,,1,2,,2,1,2,,,,1,,1,1,,,12
181,,,,,,,,,1,1,1,,1,1,,3,2,,,2,1,,,13
182,,,,,,,,,2,1,2,3,1,2,1,1,3,3,,,,,1,20
183,,,,,,,,,,1,1,1,1,,4,1,1,,2,1,1,,,14
184,,,,,,,,,,,,1,2,,1,1,3,2,,,,,,10
185,,,,,,,,,3,2,1,,1,2,1,1,1,1,,1,1,,,15
186,,,,,,2,,,1,,1,,,,,,3,1,4,,,1,1,14
187,,,,,,1,,,1,,2,1,1,,1,,1,4,,1,,2,,15
188,,,,,,,,,1,,2,,,2,1,,2,,2,,,2,1,13
189,,,,,,,,,,,,2,,,1,2,1,2,,1,,1,1,11
190,,,,,,,,1,1,,3,1,,1,,,,2,1,2,,,,12
191,,,,,,,,,,,1,3,1,,,1,1,1,1,1,,,2,12
192,,,,,1,,,,1,,,1,,2,,2,2,1,,,1,,2,13
193,,,,,,,,1,,1,1,2,,3,,,2,,1,,,1,1,13
194,,,,,,,,,,1,1,1,,,,2,,3,,,1,,1,10
195,,,,,,,,,,,,,1,,,1,1,,2,,,,,5
196,,,1,,,,,,1,,1,,2,,,2,2,,1,,1,1,,12
197,,,,,1,,,,,1,,,1,,1,2,1,,1,,,1,1,10
198,,,,,,1,,,,1,,,,,,1,1,2,,,2,1,1,10
199,,,,,,,,,,,1,,,,1,3,,1,1,1,,1,,9
200,,,,,,,,,1,,3,,1,,,1,1,,,,,,2,9
201,,,,,,,,,,,1,,1,,1,,2,5,,1,1,1,2,15
202,,,,,,,1,,1,,,3,1,,2,,7,,,,1,1,,17
203,,,,,,,,,,,2,,,2,1,,,2,1,,,,1,9
204,,,,,,,,,2,,1,1,1,1,,,3,2,,,1,,,12
205,,,,,,,,,,1,,1,1,1,1,,2,,,1,,,,8
206,,,,,,,,,,,2,1,1,1,,,1,,1,,,1,1,9
207,,,,,,,,,1,,2,1,2,1,1,,2,,,,,,,10
208,,,,,,,,,1,1,,,1,3,3,,,,,,,1,1,11
209,,,,,,,,,1,,4,1,,1,,,2,,1,,,,2,12
210,,,,,,,,,1,,,2,,,2,2,1,3,1,,,,,12
211,,,,,,1,,,,1,,,,2,,,1,,,,,,2,7
212,,,1,,,,,,,,3,,,,1,1,1,2,,2,1,,1,13
